playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Deshawn Shead,10429,2013,hawks3,"$215,412",-,-,-,-,-,-,"$215,412"
Deshawn Shead,10429,2014,hawks3,"$570,000",-,-,-,-,-,-,"$570,000"
Deshawn Shead,10429,2015,hawks3,"$660,000",-,-,-,-,-,"$210,222","$870,222"
Deshawn Shead,10429,2016,hawks3,"$760,000",-,-,-,-,-,"$70,685","$830,685"
Deshawn Shead,10429,2017,hawks3,"$1,050,000","$150,000",-,-,-,-,-,"$1,200,000"
Denzel Perryman,16772,2015,chargers2,"$435,000","$1,733,799",-,-,-,-,"$88,644","$2,257,443"
Denzel Perryman,16772,2016,chargers2,"$652,113",-,-,-,-,-,-,"$652,113"
Denzel Perryman,16772,2017,NFL_Chargers_logo.svg_,"$831,724",-,-,"$37,500",-,-,-,"$869,224"
Denzel Perryman,16772,2018,NFL_Chargers_logo.svg_,"$1,048,836",-,-,"$37,500",-,-,-,"$1,086,336"
Kenneth Farrow,19557,2016,chargers2,"$450,000","$5,000",-,-,-,-,-,"$455,000"
Kenneth Farrow,19557,2017,NFL_Chargers_logo.svg_,"$363,000",-,-,-,-,-,-,"$363,000"
Kenneth Farrow,19557,2018,NFL_Chargers_logo.svg_,"$630,000",-,-,-,-,-,-,"$630,000"
Isaiah Burse,14860,2014,broncos,"$18,900",-,-,-,-,-,-,"$18,900"
Isaiah Burse,14860,2015,Pittsburgh-Steelers-logo-psd22874,"$19,800",-,-,-,-,-,-,"$19,800"
Isaiah Burse,14860,2014,broncos,"$337,548","$12,500",-,-,-,-,-,"$350,048"
Isaiah Burse,14860,2015,chargers2,"$59,400",-,-,-,-,-,-,"$59,400"
Isaiah Burse,14860,2016,chargers2,"$30,882",-,-,-,-,-,-,"$30,882"
Isaiah Burse,14860,2016,chargers2,"$61,764",-,-,-,-,-,-,"$61,764"
Isaiah Burse,14860,2016,chargers2,"$34,500",-,-,-,-,-,-,"$34,500"
Isaiah Burse,14860,2016,chargers2,"$317,647",-,-,-,-,-,-,"$317,647"
Isaiah Burse,14860,2017,NFL_Chargers_logo.svg_,"$615,000",-,-,-,-,-,-,"$615,000"
Kerry Hyder,15032,2014,jets,-,"$4,000",-,-,-,-,-,"$4,000"
Kerry Hyder,15032,2015,lions,"$25,588",-,-,-,-,-,-,"$25,588"
Kerry Hyder,15032,2015,lions,"$105,600",-,-,-,-,-,-,"$105,600"
Kerry Hyder,15032,2016,lions,"$450,000",-,-,-,-,-,-,"$450,000"
Kerry Hyder,15032,2017,lions,"$540,000",-,-,-,-,-,-,"$540,000"
Ejuan Price,21976,2017,rams2,"$465,000","$82,799",-,-,-,-,-,"$547,799"
Ejuan Price,21976,2018,rams2,"$555,000",-,-,-,-,-,-,"$555,000"
Ejuan Price,21976,2019,rams2,"$645,000",-,-,-,-,-,-,"$645,000"
Ejuan Price,21976,2020,rams2,"$745,000",-,-,-,-,-,-,"$745,000"
Edwin Jackson,17177,2015,arizona2,-,"$1,500",-,-,-,-,-,"$1,500"
Edwin Jackson,17177,2015,colts,"$6,600",-,-,-,-,-,-,"$6,600"
Edwin Jackson,17177,2015,colts,"$13,200",-,-,-,-,-,-,"$13,200"
Edwin Jackson,17177,2016,colts,"$450,000",-,-,-,-,-,"$211,000","$661,000"
Edwin Jackson,17177,2017,colts,"$363,000",-,-,-,-,-,-,"$363,000"
Stevan Ridley,7792,2011,patriots,"$375,000","$648,000",-,-,-,-,-,"$1,023,000"
Stevan Ridley,7792,2012,patriots,"$509,250",-,-,-,-,-,-,"$509,250"
Stevan Ridley,7792,2013,patriots,"$643,500",-,-,-,-,-,-,"$643,500"
