SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1933,wortero01,Roy Worters,32,NYA,NHL,47,,15,22,10,116,,,,2.34,5,7,2970,,,,,,0,0,0,0
1934,aitkean01,Andy Aitkenhead,29,NYR,NHL,48,,21,19,8,113,,,,2.27,7,8.1,2990,,,,,,0,0,0,0
1934,beverbi01,Bill Beveridge,24,OTS,NHL,48,,13,29,6,143,,,,2.86,3,4.6,3000,,,,,,0,0,0,0
1934,chabolo01,Lorne Chabot,33,MTL,NHL,47,,21,20,6,101,,,,2.07,8,9.1,2928,,,,,,0,0,0,2
1934,conneal01,Alec Connell,31,NYA,NHL,1,,1,0,0,2,,,,3,0,0.1,40,,,,,,0,0,0,0
1934,coxab01,Abbie Cox,29,DET,NHL,2,,0,0,1,5,,,,2.75,0,0.2,109,,,,,,0,,,
1934,coxab01,Abbie Cox,29,NYA,NHL,1,,0,1,0,3,,,,7.5,0,-0.2,24,,,,,,0,,,
1934,cudewi01,Wilf Cude,23,DET,NHL,29,,15,6,8,47,,,,1.52,4,7.8,1860,,,,,,0,,,
1934,cudewi01,Wilf Cude,23,MTL,NHL,1,,1,0,0,0,,,,0,1,0.4,60,,,,,,0,,,
1934,gardich01,Charlie Gardiner,29,CBH,NHL,48,,20,17,11,83,,,,1.63,10,12.1,3050,,,,,,0,0,0,0
1934,grantbe01,Benny Grant,25,NYA,NHL,5,,1,3,1,18,,,,3.38,1,0.2,320,,,,,,0,0,0,0
1934,hainsge01,George Hainsworth,38,TOR,NHL,48,,26,13,9,119,,,,2.37,3,7.5,3010,,,,,,0,0,0,0
1934,jackspe01,Percy Jackson,26,NYA,NHL,1,,0,1,0,9,,,,9,0,-0.6,60,,,,,,0,0,0,0
1934,kerrda01,Dave Kerr,24,MTM,NHL,48,,19,18,11,122,,,,2.39,6,7.5,3060,,,,,,0,0,0,0
